:			Group	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	
			Scripts	Coord 1	Coord 2	Coord 3	Coord 4	Coord 5	Coord 6	Coord 7	Coord 8	Coord 9	Coord 10	Coord 11	Coord 12	Coord 13	Coord 14	Coord 15	Coord 16	Coord 17	Coord 18	Coord 19	Coord 20	Coord 21	Coord 22	Coord 23	Coord 24	Coord 25	Coord 26	Coord 27	Coord 28	Coord 29	Coord 30	Coord 31	Coord 32	Coord 33	Coord 34	Coord 35	
Blue	Dot	Yabogan          	TR	-0.16996	0.44952	-0.046514	0.059119	0.035784	-0.088176	0.011412	-0.026495	0.0076455	0.0082786	-0.007058	0.034998	0.010991	-0.057836	0.034675	0.014829	-0.072605	0.06569	-0.031055	0.0011875	0.029721	-0.019396	-0.10005	0.05625	-0.044299	-0.013903	-0.025897	-0.026594	-0.0084829	-0.025212	-0.02412	-0.0099814	-0.0062225	-0.0029693	0	
Blue	Dot	Almaly_II        	TR	-0.050843	0.40277	-0.023789	0.024367	-0.002994	0.039329	-0.035749	-0.089538	0.19289	0.0024565	0.00051926	-0.060813	-0.021155	0.13328	0.012852	-0.061472	-0.084415	0.10538	-0.033068	0.063978	0.0085706	-0.1338	0.07741	-0.047964	0.065808	-0.015373	-0.044738	0.012391	0.0018118	0.016402	-0.017435	0.0096004	-0.0045831	0.00049801	0	
Blue	Dot	Bilge_Khagan     	TR	-0.089421	0.40032	-0.099089	0.093387	0.042969	0.015929	0.0058647	0.059574	0.10028	-0.08367	-0.061877	-0.070366	0.086945	-0.04398	0.0095273	0.028485	0.055349	0.048357	-0.01319	0.041234	0.048978	0.040923	-0.055027	0.04033	-0.024256	-0.044578	-0.0044505	0.03368	0.004023	-0.005475	0.02426	-0.002888	-0.018124	-0.014961	0	
Blue	Dot	Tamgaly          	TR	-0.0767	0.26734	0.20556	-0.095453	-0.046072	-0.072976	-0.17895	-0.097631	0.27214	0.032901	-0.067593	0.23945	-0.22006	-0.24677	-0.1318	0.021512	0.037066	-0.024666	0.074745	0.016905	0.019724	0.022921	0.05026	0.01549	-0.036279	-0.02929	0.029769	0.0046708	0.0079728	0.010472	0.0068599	0.002013	0.00029742	0.0009828	0	
Blue	Dot	Kalbak_Tash_II   	TR	-0.15294	0.44514	-0.14482	-0.087594	-0.075688	-0.066796	0.075626	-0.0074505	-0.11309	0.035095	-0.0084144	0.021571	0.0021381	-0.0023583	-0.11815	-0.064502	-0.091489	-0.031672	0.035271	-0.02726	-0.041287	0.006935	0.12318	-0.018407	-0.070721	0.025878	0.016887	0.028849	0.013507	-0.020564	0.018212	-0.034888	0.0079378	-0.0021581	0	
Blue	Dot	Koytubek         	TR	-0.039185	0.34688	0.0495	0.091076	-0.053693	-0.1456	-0.14959	-0.050333	0.023288	0.15513	0.2101	-0.154	-0.14595	0.028585	0.11766	-0.19342	0.09618	0.12202	0.036904	-0.060726	0.0043271	0.036084	0.024728	-0.027646	0.021556	-0.010709	0.014102	-0.018954	0.013675	-0.017082	0.008895	0.015406	-0.00097773	0.0033304	0	
Blue	Dot	Kul_Tegin        	TR	-0.09027	0.39667	-0.10105	0.093767	0.044186	0.014866	0.0038168	0.061354	0.10233	-0.081486	-0.064151	-0.070334	0.090328	-0.041879	0.009926	0.026111	0.052689	0.054908	-0.021764	0.052829	0.052842	0.051094	-0.069262	0.021481	-0.04377	-0.029228	-0.01589	0.027552	0.012064	0.010257	-0.020356	-0.016457	0.029714	0.011342	0	
Blue	Dot	Kuljabasy_I      	TR	-0.16617	0.35407	0.18131	-0.13531	-0.037213	0.059339	0.1611	-0.17088	0.085962	-0.10419	-0.0255	0.16099	-0.085095	0.064443	0.038113	0.034832	-0.021254	-0.048595	-0.031722	0.0061815	0.040683	-0.043181	-0.010856	0.049501	0.015844	0.032157	-0.030363	0.026604	0.052459	0.011865	0.026952	0.0039092	0.0017794	0.0022982	0	
Blue	Dot	Kuljabasy_II     	TR	-0.13889	0.3681	-0.14651	-0.077927	-0.19046	-0.1855	0.1504	0.029871	-0.28876	0.013025	0.090719	0.054773	-0.027662	-0.071864	-0.019579	0.060901	-0.094246	0.068573	0.0045637	0.033596	0.071425	0.058331	0.0030841	-0.023148	0.11365	-0.029171	-0.0087325	0.031449	0.0088749	0.028422	-0.0056503	0.0041578	-0.0026463	0.00020544	0	
Blue	Dot	Bichiktu_Boom_XV 	TR	-0.06097	0.40413	-0.033366	0.073424	0.12194	0.066368	-0.036267	0.20804	-0.055501	0.11252	-0.035291	-0.08729	-0.013385	-0.062675	-0.046471	-0.025294	0.023632	-0.055997	0.046786	-0.062524	-0.095903	-0.051616	0.022922	0.0091338	-0.023683	0.027283	-0.028721	0.061102	-0.026996	0.040103	-0.025338	0.021194	-0.0029726	-0.00056068	0	
Blue	Dot	Bichiktu_Boom_III	TR	-0.15207	0.39857	-0.019809	-0.016712	0.029925	-0.074203	0.0093032	0.0092026	-0.26025	0.066662	0.056354	-0.0026822	-0.0017823	0.035996	0.067479	0.027811	0.067034	-0.05576	-0.036649	0.026464	-0.07266	-0.0071981	-0.022307	-0.004965	-0.11252	-0.065236	-0.0050875	-0.055324	-0.020888	0.00412	0.021027	0.011515	-0.0021596	0.0020351	0	
Blue	Dot	Mendur-Sokkon_I  	TR	-0.12987	0.40213	-0.074073	0.054139	0.043669	0.0030397	0.0056047	0.14019	-0.10427	0.036755	-0.036213	-0.043104	0.060008	0.016765	0.026008	0.063539	0.0898	-0.09508	-0.069926	-0.044612	0.044394	0.039318	0.033918	-0.019935	0.041456	0.034947	-0.0075	0.029109	0.037616	-0.0074143	-0.0057721	0.0022195	-0.0022072	-0.0014248	0	
Blue	Dot	Kurgak_I         	TR	-0.1698	0.41347	-0.0035078	-0.018869	-0.0063101	0.049038	0.066585	0.049412	0.12704	-0.046802	-0.12677	0.024954	0.04507	0.036885	-0.022338	0.010566	-0.017575	-0.050239	-0.015371	-0.0079807	0.045866	0.03452	0.0051311	0.026176	0.012576	-0.014668	0.026907	-0.086873	-0.056727	0.048712	0.011449	0.016161	-0.0030044	0.0043178	0	
Blue	Dot	Urkosh           	TR	-0.14997	0.3468	0.10963	-0.027957	-0.20393	0.036799	0.2013	0.059819	-0.054665	-0.14245	0.040223	0.064056	-0.0042157	0.024968	0.14476	-0.091183	-0.0019656	-0.087648	0.02925	-0.11167	0.036396	-0.07377	-0.042326	-0.083812	-0.06615	0.038371	0.052074	0.0071253	-0.012363	-0.01242	-0.0095689	0.003622	-0.0023151	-1.2731E-05	0	
Blue	Dot	Tuva_III         	TR	-0.10794	0.36778	-0.11922	0.11289	0.030581	-0.030091	-0.1176	0.11901	0.079009	0.029766	-0.042594	-0.017591	-0.037171	-0.12282	-0.055668	0.13832	-0.038433	0.031748	-0.012479	0.063985	-0.077094	-0.070936	0.0028222	-0.033094	0.059572	0.080109	0.063702	-0.045918	-0.0086924	-0.02175	0.0036849	-0.0063773	0.00097535	0.00079665	0	
Blue	Dot	Zhon_Aryk        	TR	-0.11126	0.37515	-0.0065666	0.061146	0.0010166	0.10623	0.030978	-0.046714	0.11102	-0.11185	-0.04148	-0.035832	0.12483	0.045123	-0.068125	-0.12529	0.058746	-0.012881	0.065169	-0.0096428	-0.090512	0.06173	-0.0095942	-0.016735	0.080809	0.0080735	-0.051044	-0.036657	0.00043493	-0.057167	0.0038854	-0.0075226	0.0029793	-0.0019407	0	
Lightgreen	Fill diamond	Vargyas          	SHR	-0.12016	-0.27658	0.30713	0.034669	-0.14982	0.20206	-0.17781	0.1531	-0.10884	-0.027098	-0.10567	-0.038791	-0.079442	-0.12151	0.057696	-0.016394	0.049176	0.074636	0.022733	-0.061436	0.031354	-0.048739	0.012536	-0.053372	0.043571	-0.0054127	-0.065509	-0.026961	-0.029015	0.0080025	0.014784	-0.021121	0.0073108	-0.0012777	0	
Lightgreen	Fill diamond	Homorodkaracsonyf	SHR	-0.17222	-0.13572	0.31491	-0.14777	0.12164	0.22396	-0.15366	0.12399	-0.08129	-0.007434	0.099885	-0.056008	0.116	-0.098076	-0.097188	-0.10546	0.009696	0.020783	0.031247	0.056973	0.11231	-0.1053	-0.084083	0.050436	-0.032932	0.0046451	0.017713	0.010495	0.0083043	-0.0083301	0.00076285	-0.0064202	-0.0014129	-0.00080686	0	
Lightgreen	Fill diamond	Erdoszentgyorgy  	SHR	-0.13432	0.16475	0.2744	-0.24273	0.094948	0.06419	-0.090459	-0.20703	-0.19234	0.12138	0.21416	-0.024007	0.094373	0.068723	-0.13708	0.10134	-0.019688	0.032837	0.036489	-0.03176	-0.044257	0.038419	-0.063497	0.02732	0.052199	0.027808	0.060916	-0.0079007	-0.0075086	0.00083599	-0.017628	-0.0037617	-0.0014564	-4.1342E-05	0	
Lightgreen	Fill diamond	Stick_Calendar   	SHR	-0.35694	-0.22366	-0.096045	0.069401	0.097324	0.028457	-0.076778	-0.023695	-0.01472	-0.01308	-0.086206	0.095774	-0.041043	0.058805	-0.00010334	0.015968	0.060452	-0.0040527	0.047738	-0.029734	-0.057625	0.060713	-0.030446	-0.023639	0.03217	-0.033881	-0.0026196	0.023909	-0.0142	0.019256	-0.01493	-0.050879	-0.0093045	-0.0020587	0	
Lightgreen	Fill diamond	Nikolsburg       	SHR	-0.32149	-0.2383	-0.089747	0.089922	0.12649	-0.093659	-0.08219	-0.030553	0.037889	-0.0024687	-0.054832	0.057977	0.019046	0.061032	0.0035711	-0.0079948	0.0003747	0.035455	0.011406	0.0056564	-0.013224	0.033315	-0.050837	0.0010444	-0.014404	0.044473	-0.0018353	0.081655	-0.053261	-0.032134	0.046092	0.022163	0.0016235	0.0036844	0	
Lightgreen	Fill diamond	Csikszentmihaly  	SHR	-0.33515	-0.22516	-0.0088646	0.04937	0.086363	-0.055518	-0.031417	0.022491	-0.019813	0.033759	-0.015181	-0.045114	-0.063977	0.015574	0.048634	0.043715	0.0055849	0.045351	-0.067626	-0.11299	-0.05837	-0.029103	-0.050785	0.041079	0.03664	0.038528	-0.01521	-0.024533	0.036136	0.039444	0.034374	-0.0037973	0.005205	-0.0013103	0	
Lightgreen	Fill diamond	Constantinople   	SHR	-0.3007	-0.16631	-0.02185	0.051548	0.16478	0.027768	-0.0094801	-0.029524	0.020304	-0.014098	0.10232	-0.046144	-0.15071	-0.016581	0.11905	0.082217	-0.006963	-0.16197	-0.01056	-0.036879	0.05873	-0.10148	0.020802	0.070494	0.051069	-0.020374	-0.027234	0.00081696	-0.01368	-0.031936	-0.016324	-0.013626	0.00070778	0.0009574	0	
