:			Group	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary																										
			Scripts	Coord 1	Coord 2	Coord 3	Coord 4	Coord 5	Coord 6	Coord 7	Coord 8	Coord 9	Coord 10	Coord 11	Coord 12	Coord 13	Coord 14	Coord 15	Coord 16	Coord 17	Coord 18	Coord 19	Coord 20	Coord 21	Coord 22	Coord 23	Coord 24	Coord 25	Coord 26	Coord 27	Coord 28	Coord 29	Coord 30	Coord 31	Coord 32	Coord 33	Coord 34	Coord 35	Coord 36	Coord 37	Coord 38	Coord 39	Coord 40	Coord 41	Coord 42	Coord 43	Coord 44	Coord 45	Coord 46	Coord 47	Coord 48	Coord 49	Coord 50	Coord 51	Coord 52	Coord 53	Coord 54	
Blue	Dot	Yabogan          	TR	0.28786	-0.38125	-0.017496	-0.039152	-0.07625	-0.022684	0.038765	-0.058965	0.023775	-0.016067	-0.019963	-0.056939	-0.028847	-0.018634	0.06312	-0.02857	-0.080662	0.062218	0.040035	0.0048417	-0.052162	0.032776	0.097486	0.030424	0.029495	0.03002	0.0066256	-0.0028976	-0.00016338	0.11852	0.027671	-0.12682	-0.10747	-0.002844	0.077614	-0.042791	0.072248	-0.22475	0.13105	-0.0058479	0.28657	0.13362	-0.0018843	0.23521	0.1466	-0.20824	0.046873	0.053775	0.23275	0.049937	0.020228	-0.20572	0.073127	0.080431	
Blue	Dot	Almaly_II        	TR	0.14156	-0.37802	0.0042291	-0.027033	-0.024965	0.14207	-0.03056	-0.16165	0.088948	0.02841	0.016345	0.030391	0.1287	-0.10205	-0.11009	0.029577	0.04151	0.097409	0.12387	-0.079258	0.073506	0.0068143	-0.0030991	-0.03659	0.0068251	0.052451	-0.021709	-0.012386	-0.0013889	-0.044284	-0.11903	0.03659	0.089776	-0.19195	-0.14152	0.27774	-0.15233	-0.065812	0.1682	-0.024229	-0.040993	0.13362	-0.0018843	-0.14329	-0.08318	-0.21744	0.055916	0.063242	-0.078956	-0.024205	-0.067997	0.0768	0.054373	0.17604	
Blue	Dot	Bilge_Khagan     	TR	0.17867	-0.35783	-0.048193	-0.097907	0.041766	-0.013534	-0.0026788	-0.14659	-0.066977	0.035337	0.12102	0.019208	-0.099289	0.019169	-0.013935	-0.068141	-0.053163	-0.01737	0.0072537	0.058789	-0.015405	-0.0056197	0.053227	0.032221	-0.030753	0.012198	-0.011957	0.024674	-0.007955	0.047127	-0.17968	0.0073112	0.13291	-0.048053	-0.096038	-0.11977	0.13711	0.017865	0.084942	-0.1878	0.016605	0.13362	-0.0018843	-0.2053	-0.15164	0.2202	0.027421	-0.41108	0.080508	0.009809	-0.18762	0.077321	0.31545	-0.10553	
Blue	Dot	Tamgaly          	TR	0.18079	-0.22622	0.23728	0.15155	-0.10031	-0.017431	-0.19022	-0.22947	0.085086	-0.049971	-0.14201	0.065961	0.1534	0.16961	0.24392	-0.12359	0.079638	-0.048306	0.002597	0.047095	0.020212	-0.01519	-0.025412	0.031583	-0.037099	-0.009412	-0.0014839	-0.014697	-0.00024862	0.047862	0.077388	-0.12935	-0.0045067	-0.026629	-0.11914	0.078158	-0.15778	0.21222	-0.065924	0.021983	-0.047566	0.13362	-0.0018843	-0.10709	0.16299	0.14568	0.28603	0.011255	0.071015	0.080615	0.094411	-0.027161	-0.0728	-0.072459	
Blue	Dot	Kalbak_Tash_II   	TR	0.2684	-0.37854	-0.17872	0.093652	-0.0094388	-0.014209	0.18764	0.10127	0.052527	-0.03366	-0.017214	0.084832	0.10688	0.13709	0.052358	0.037532	0.070514	0.029673	0.0082209	-0.015771	0.039255	-0.040888	-0.012179	-0.031752	-0.019046	-0.059251	0.010579	0.020061	-0.014197	-0.37218	-0.05059	0.12754	0.0094457	-0.095971	0.21933	-0.27705	0.20025	-0.18587	-0.24282	-0.2462	0.064074	0.13362	-0.0018843	-0.041726	-0.057732	-0.20382	0.046413	0.059526	-0.13249	0.0022289	0.054891	0.11828	0.091208	0.017052	
Blue	Dot	Koytubek         	TR	0.14407	-0.29176	0.11169	-0.084401	-0.11452	0.027303	-0.085104	0.055388	0.32328	0.051616	0.097583	-0.077426	0.046278	-0.19017	-0.081219	-0.083934	0.15937	0.037265	-0.11277	-0.045604	-0.00028848	-0.045599	0.0045729	-0.018427	-0.0029263	0.015502	-0.0085099	0.0019874	0.002568	0.061713	-0.0033896	-0.19112	-0.050384	0.075712	0.19653	-0.10628	0.14275	0.12983	-0.03471	-0.084845	0.13465	0.13362	-0.0018843	-0.07239	-0.070652	0.21194	-0.056029	-0.015045	0.022846	-0.042976	0.13012	-0.10821	-0.097178	-0.17132	
Blue	Dot	Kul_Tegin        	TR	0.17832	-0.35464	-0.049675	-0.098135	0.042324	-0.015904	-0.0046629	-0.14847	-0.062772	0.033583	0.12092	0.022414	-0.10173	0.017715	-0.020792	-0.072601	-0.059947	-0.0067529	0.022191	0.060708	-0.043518	-0.0068221	0.069908	0.0033121	-0.031201	-0.042733	-0.049225	-0.0078412	0.0095431	0.027961	-0.25292	-0.047907	0.15581	-0.069101	-0.08839	-0.054091	-0.025479	-0.050069	-0.40851	0.1746	-0.046149	0.13362	-0.0018843	0.060224	0.020332	-0.13164	-0.027309	0.37674	-0.14509	-0.095069	0.18238	-0.099104	-0.31699	0.091993	
Blue	Dot	Kuljabasy_I      	TR	0.27788	-0.27886	0.13352	0.1858	-0.045751	0.12583	0.11498	-0.096957	-0.10692	0.0045275	-0.22443	-0.085961	0.11427	-0.073276	0.035377	-0.0092082	-0.050616	-0.099119	-0.0091713	0.012949	0.043196	-0.00141	-0.050982	0.021234	0.056155	-0.019028	-0.021694	0.0098736	0.0020348	0.019516	-0.22738	-0.12926	-0.0054764	0.18126	0.04801	-0.23879	0.079755	-0.16782	0.053255	-0.097105	-0.12439	0.13362	-0.0018843	0.19554	-0.065152	-0.0082591	-0.26487	-0.12245	0.069403	0.064073	-0.19866	-0.052498	-0.051898	0.060138	
Blue	Dot	Kuljabasy_II     	TR	0.27253	-0.28019	-0.14554	0.14947	-0.058457	-0.059076	0.28393	0.3021	0.055039	0.028741	-0.02655	-0.041469	0.0053248	-0.037935	0.057724	-0.0040271	0.0084306	0.026389	-0.015036	0.079983	0.00057629	-0.038235	-0.069029	0.022943	-0.01487	0.041349	-0.039324	-0.020443	0.00068939	-0.027834	-0.11911	0.12694	-0.1148	0.15451	-0.30239	0.22967	-0.032357	-0.11	0.096524	0.26752	0.022097	0.13362	-0.0018843	0.039579	0.13744	0.15666	-0.22018	0.034377	-0.020073	0.027309	-0.14366	0.0081817	-0.043512	-0.014251	
